SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION,REPLACES RECURRENT EVENT FROM
"Materiaux genie electrique","2020-09-08 01:30 PM","2020-09-08 03:30 PM",,"4EUAMGE8_2020_S7_CTD_G1HANNA Rachelle(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"RESERVATION POUR INSCRIPTIONS SCOLARITE","2020-09-09 07:30 AM","2020-09-09 09:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-Salle des forums","","",,,,,
"RDV et inscriptions étudiants internationaux","2020-09-09 08:00 AM","2020-09-09 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"Algorithmique et programmation","2020-09-09 08:00 AM","2020-09-09 10:00 AM",,"3EUAAEP8_2020_S5_BE_G1JOSSEROND CharlesGOUNON Patrick(Exporté le:23/03/2023 17:56)","","G-3D003-info,G-3B001-info","","",,,,,
"Conception mecanique","2020-09-09 08:15 AM","2020-09-09 10:15 AM",,"4EUS3CME_2020_S7_CM_G1AMEN Jean-Luc(Exporté le:23/03/2023 17:56)","","G-1A002-Amphi Ampère","","",,,,,
"Controle commande outils maths","2020-09-09 08:15 AM","2020-09-09 10:15 AM",,"4EUACCO6_2020_S7_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"Ingenierie des amenagements 1","2020-09-09 08:15 AM","2020-09-09 10:15 AM",,"4EUS3IH1_2020_S7_CTD_G2MISSEMER Ludovic(Exporté le:23/03/2023 17:56)","","G-2C002","","",,,,,
"Ingenierie des amenagements 1","2020-09-09 08:15 AM","2020-09-09 10:15 AM",,"4EUS3IH1_2020_S7_CTD_G1BOURGEOIS Celine(Exporté le:23/03/2023 17:56)","","G-2C001","","",,,,,
"Electronique & signaux numeriques","2020-09-09 08:15 AM","2020-09-09 12:15 PM",,"4EUS3ESN_2020_S7_BE1_G1WILLEMIN JeromeBRUNELLO Marc(Exporté le:23/03/2023 17:56)","","G-5D003-Electronique & instrumentation associée","","",,,,,
"Algorithmique et programmation","2020-09-09 10:15 AM","2020-09-09 12:15 PM",,"3EUAAEP8_2020_S5_BE_G1JOSSEROND CharlesGOUNON Patrick(Exporté le:23/03/2023 17:56)","","G-3D003-info,G-3B001-info","","",,,,,
"Ingenierie des amenagements 1","2020-09-09 10:30 AM","2020-09-09 12:30 PM",,"4EUS3IH1_2020_S7_CTD_G2BOURGEOIS Celine(Exporté le:23/03/2023 17:56)","","G-2C002","","",,,,,
"Controle commande outils maths","2020-09-09 10:30 AM","2020-09-09 12:30 PM",,"4EUACCO6_2020_S7_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"Ingenierie des amenagements 1","2020-09-09 10:30 AM","2020-09-09 12:30 PM",,"4EUS3IH1_2020_S7_CTD_G1MISSEMER Ludovic(Exporté le:23/03/2023 17:56)","","G-2C001","","",,,,,
"Conception mecanique","2020-09-09 10:30 AM","2020-09-09 12:30 PM",,"4EUS3CME_2020_S7_CM_G1LEON Jean-Claude(Exporté le:23/03/2023 17:56)","","G-1C002-Amphi Coulomb","","",,,,,
